id,name,descr,lang_code,is_active,cr_by,cr_dtimes
10001,Pre-Registration,Web portal for pre-registrations,eng,t,superadmin,2020-12-23 14:36:47.923258
10001,ቅድመ ምዝገባ,የቅድመ ምዝገባ ድህረ ገጽ,amh,t,superadmin,2020-12-23 14:36:47.923258
10002,Registration Client,Desktop application for Registrations,eng,t,superadmin,2020-12-23 14:36:47.923258
10002,የደንበኛ ምዝገባ,የምዝገባ ዴስክቶፕ መተግበሪያ,amh,t,superadmin,2020-12-23 14:36:47.923258
10003,Registration Processor,Application for post-registration process,eng,t,superadmin,2020-12-23 14:36:47.923258
10003,የምዝገባ ፕሮሰሰር ,የድህረ ምዝገባ መተግበሪያ,amh,t,superadmin,2020-12-23 14:36:47.923258
10004,ID Authentication,Application for third party service provider authentication,eng,t,superadmin,2020-12-23 14:36:47.923258
10004,የመታወቂያ ማረጋገጫ ,የሶስተኛ ወገን አገልግሎት አቅራቢ ማረጋገጫ መተግበሪያ,amh,t,superadmin,2020-12-23 14:36:47.923258
10005,ID Control,Web portal for configuring applications,eng,t,superadmin,2020-12-23 14:36:47.923258
10005,የመታወቂያ ቁጥጥር ,የመተግበሪያዎች ማስተካከያ ድህረ ገጽ,amh,t,superadmin,2020-12-23 14:36:47.923258
10006,Resident Portal,Web portal for Post ID generation services,eng,t,superadmin,2020-12-23 14:36:47.923258
10006,የነዋሪዎች ድህረ ገጽ,የድህረ መታወቂያ መፍጠሪያ አገልግሎቶች ድህረ ገጽ,amh,t,superadmin,2020-12-23 14:36:47.923258
